Id,District_Name,Crop,Year,Season,Area,Area Units,Production,Production Units,Yield
1,ADILABAD,Arhar/Tur,2013-14,Kharif,39190,Hectare,26296,Tonnes,0.670987497
2,ADILABAD,Arhar/Tur,2013-14,Rabi,1067,Hectare,716,Tonnes,0.6710403
3,ADILABAD,Arhar/Tur,2014-15,Kharif,34731,Hectare,28618,Tonnes,0.823990095
4,ADILABAD,Arhar/Tur,2014-15,Rabi,543,Hectare,447,Tonnes,0.82320442
5,ADILABAD,Arhar/Tur,2015-16,Kharif,37507,Hectare,37807,Tonnes,1.007998507
6,ADILABAD,Arhar/Tur,2015-16,Rabi,419,Hectare,422,Tonnes,1.007159905
7,KARIMNAGAR,Arhar/Tur,2013-14,Kharif,4548,Hectare,3084,Tonnes,0.678100264
8,KARIMNAGAR,Arhar/Tur,2013-14,Rabi,68,Hectare,46,Tonnes,0.676470588
9,KARIMNAGAR,Arhar/Tur,2014-15,Kharif,3126,Hectare,2254,Tonnes,0.721049264
10,KARIMNAGAR,Arhar/Tur,2014-15,Rabi,13,Hectare,9,Tonnes,0.692307692
11,KARIMNAGAR,Arhar/Tur,2015-16,Kharif,3365,Hectare,1316,Tonnes,0.391084695
12,KARIMNAGAR,Arhar/Tur,2015-16,Rabi,94,Hectare,37,Tonnes,0.393617021
13,KHAMMAM,Arhar/Tur,2013-14,Kharif,1981,Hectare,1135,Tonnes,0.572942958
14,KHAMMAM,Arhar/Tur,2013-14,Rabi,83,Hectare,48,Tonnes,0.578313253
15,KHAMMAM,Arhar/Tur,2014-15,Kharif,1873,Hectare,978,Tonnes,0.522156967
16,KHAMMAM,Arhar/Tur,2014-15,Rabi,89,Hectare,46,Tonnes,0.516853933
17,KHAMMAM,Arhar/Tur,2015-16,Kharif,2647,Hectare,1527,Tonnes,0.576879486
18,KHAMMAM,Arhar/Tur,2015-16,Rabi,209,Hectare,121,Tonnes,0.578947368
19,MAHBUBNAGAR,Arhar/Tur,2013-14,Kharif,116002,Hectare,54637,Tonnes,0.4710005
20,MAHBUBNAGAR,Arhar/Tur,2014-15,Kharif,100635,Hectare,45286,Tonnes,0.450002484
21,MAHBUBNAGAR,Arhar/Tur,2015-16,Kharif,115917,Hectare,29791,Tonnes,0.257002855
22,MAHBUBNAGAR,Arhar/Tur,2015-16,Rabi,60,Hectare,15,Tonnes,0.25
23,MEDAK,Arhar/Tur,2013-14,Kharif,26772,Hectare,15447,Tonnes,0.576983416
24,MEDAK,Arhar/Tur,2013-14,Rabi,55,Hectare,32,Tonnes,0.581818182
25,MEDAK,Arhar/Tur,2014-15,Kharif,22001,Hectare,6996,Tonnes,0.317985546
26,MEDAK,Arhar/Tur,2014-15,Rabi,14,Hectare,4,Tonnes,0.285714286
27,MEDAK,Arhar/Tur,2015-16,Kharif,24263,Hectare,8710,Tonnes,0.358982813
28,NALGONDA,Arhar/Tur,2013-14,Kharif,25069,Hectare,14365,Tonnes,0.573018469
29,NALGONDA,Arhar/Tur,2013-14,Rabi,6,Hectare,3,Tonnes,0.5
30,NALGONDA,Arhar/Tur,2014-15,Kharif,15661,Hectare,7470,Tonnes,0.476981036
31,NALGONDA,Arhar/Tur,2014-15,Rabi,28,Hectare,13,Tonnes,0.464285714
32,NALGONDA,Arhar/Tur,2015-16,Kharif,21590,Hectare,9629,Tonnes,0.445993516
33,NALGONDA,Arhar/Tur,2015-16,Rabi,241,Hectare,107,Tonnes,0.443983402
34,NIZAMABAD,Arhar/Tur,2013-14,Kharif,3630,Hectare,2073,Tonnes,0.57107438
35,NIZAMABAD,Arhar/Tur,2014-15,Kharif,3380,Hectare,886,Tonnes,0.262130178
36,NIZAMABAD,Arhar/Tur,2015-16,Kharif,5055,Hectare,2528,Tonnes,0.500098912
37,NIZAMABAD,Arhar/Tur,2015-16,Rabi,5,Hectare,3,Tonnes,0.6
38,RANGAREDDI,Arhar/Tur,2013-14,Kharif,36004,Hectare,15878,Tonnes,0.441006555
39,RANGAREDDI,Arhar/Tur,2014-15,Kharif,31049,Hectare,12451,Tonnes,0.401011305
40,RANGAREDDI,Arhar/Tur,2014-15,Rabi,17,Hectare,7,Tonnes,0.411764706
41,RANGAREDDI,Arhar/Tur,2015-16,Kharif,30274,Hectare,8113,Tonnes,0.26798573
42,RANGAREDDI,Arhar/Tur,2015-16,Rabi,50,Hectare,13,Tonnes,0.26
43,WARANGAL,Arhar/Tur,2013-14,Kharif,8320,Hectare,5400,Tonnes,0.649038462
44,WARANGAL,Arhar/Tur,2013-14,Rabi,119,Hectare,77,Tonnes,0.647058824
45,WARANGAL,Arhar/Tur,2014-15,Kharif,7335,Hectare,3726,Tonnes,0.50797546
46,WARANGAL,Arhar/Tur,2014-15,Rabi,174,Hectare,88,Tonnes,0.505747126
47,WARANGAL,Arhar/Tur,2015-16,Kharif,6896,Hectare,4482,Tonnes,0.649941995
48,WARANGAL,Arhar/Tur,2015-16,Rabi,337,Hectare,219,Tonnes,0.649851632
49,ADILABAD,Bajra,2013-14,Rabi,204,Hectare,192,Tonnes,0.941176471
50,ADILABAD,Bajra,2014-15,Rabi,1582,Hectare,1482,Tonnes,0.936788875
51,ADILABAD,Bajra,2015-16,Rabi,1644,Hectare,1542,Tonnes,0.937956204
52,KARIMNAGAR,Bajra,2013-14,Rabi,1968,Hectare,1854,Tonnes,0.942073171
53,KARIMNAGAR,Bajra,2014-15,Rabi,1503,Hectare,1408,Tonnes,0.936793081
54,KARIMNAGAR,Bajra,2015-16,Rabi,1037,Hectare,973,Tonnes,0.93828351
55,KHAMMAM,Bajra,2013-14,Kharif,2,Hectare,2,Tonnes,1
56,KHAMMAM,Bajra,2013-14,Rabi,6,Hectare,6,Tonnes,1
57,MAHBUBNAGAR,Bajra,2013-14,Kharif,3137,Hectare,2902,Tonnes,0.925087663
58,MAHBUBNAGAR,Bajra,2014-15,Kharif,1582,Hectare,1504,Tonnes,0.950695322
59,MAHBUBNAGAR,Bajra,2015-16,Kharif,1223,Hectare,1166,Tonnes,0.953393295
60,MEDAK,Bajra,2013-14,Kharif,232,Hectare,219,Tonnes,0.943965517
61,MEDAK,Bajra,2014-15,Kharif,294,Hectare,275,Tonnes,0.93537415
62,MEDAK,Bajra,2014-15,Rabi,9,Hectare,8,Tonnes,0.888888889
63,MEDAK,Bajra,2015-16,Kharif,285,Hectare,267,Tonnes,0.936842105
64,NALGONDA,Bajra,2013-14,Kharif,765,Hectare,773,Tonnes,1.010457516
65,NALGONDA,Bajra,2013-14,Rabi,2,Hectare,2,Tonnes,1
66,NALGONDA,Bajra,2014-15,Kharif,41,Hectare,17,Tonnes,0.414634146
67,NALGONDA,Bajra,2015-16,Kharif,53,Hectare,31,Tonnes,0.58490566
68,NALGONDA,Bajra,2015-16,Rabi,2,Hectare,1,Tonnes,0.5
69,NIZAMABAD,Bajra,2013-14,Rabi,6755,Hectare,6363,Tonnes,0.941968912
70,NIZAMABAD,Bajra,2014-15,Rabi,6063,Hectare,5681,Tonnes,0.936994887
71,NIZAMABAD,Bajra,2015-16,Rabi,1581,Hectare,1483,Tonnes,0.938013915
72,RANGAREDDI,Bajra,2013-14,Kharif,145,Hectare,137,Tonnes,0.944827586
